Timestamp,Image Name,Ground Truth,Model,Predicted Place,Confidence,Time MS,Is Correct
2026-08-20 23:27:47,dFQROr7oWzulq5FZUEh3MRrERXP2ZCRNt1ty78Z5HuJ2mEG4frJaJLYSmi7PuWvciU0.jpg,dFQROr7oWzulq5FZUEh3MRrERXP2ZCRNt1ty78Z5HuJ2mEG4frJaJLYSmi7PuWvciU0,google-gemini-25-pro,The Grand Palace,0,34233,True
2026-08-20 23:27:47,dFQROr7oWzulq5FZUEh3MRrERXP2ZCRNt1ty78Z5HuJ2mEG4frJaJLYSmi7PuWvciU0.jpg,dFQROr7oWzulq5FZUEh3MRrERXP2ZCRNt1ty78Z5HuJ2mEG4frJaJLYSmi7PuWvciU0,google-gemini-25-flash,The Grand Palace,0,8202,True
2026-08-20 23:27:47,dFQROr7oWzulq5FZUEh3MRrERXP2ZCRNt1ty78Z5HuJ2mEG4frJaJLYSmi7PuWvciU0.jpg,dFQROr7oWzulq5FZUEh3MRrERXP2ZCRNt1ty78Z5HuJ2mEG4frJaJLYSmi7PuWvciU0,google-gemma4-31b,The Grand Palace,0,9117,True
2026-08-20 23:27:47,dFQROr7oWzulq5FZUEh3MRrERXP2ZCRNt1ty78Z5HuJ2mEG4frJaJLYSmi7PuWvciU0.jpg,dFQROr7oWzulq5FZUEh3MRrERXP2ZCRNt1ty78Z5HuJ2mEG4frJaJLYSmi7PuWvciU0,openai-gpt4o,The Grand Palace,0,11160,True
2026-08-20 23:27:47,dFQROr7oWzulq5FZUEh3MRrERXP2ZCRNt1ty78Z5HuJ2mEG4frJaJLYSmi7PuWvciU0.jpg,dFQROr7oWzulq5FZUEh3MRrERXP2ZCRNt1ty78Z5HuJ2mEG4frJaJLYSmi7PuWvciU0,openai-gpt4o-mini,The Grand Palace,0,9603,True
2026-08-20 23:27:47,dFQROr7oWzulq5FZUEh3MRrERXP2ZCRNt1ty78Z5HuJ2mEG4frJaJLYSmi7PuWvciU0.jpg,dFQROr7oWzulq5FZUEh3MRrERXP2ZCRNt1ty78Z5HuJ2mEG4frJaJLYSmi7PuWvciU0,anthropic-claude-sonnet5,The Grand Palace,0,16522,True
2026-08-20 23:27:47,dFQROr7oWzulq5FZUEh3MRrERXP2ZCRNt1ty78Z5HuJ2mEG4frJaJLYSmi7PuWvciU0.jpg,dFQROr7oWzulq5FZUEh3MRrERXP2ZCRNt1ty78Z5HuJ2mEG4frJaJLYSmi7PuWvciU0,amazon-nova-pro,Bangkok,0,11341,False
2026-08-20 23:27:47,dFQROr7oWzulq5FZUEh3MRrERXP2ZCRNt1ty78Z5HuJ2mEG4frJaJLYSmi7PuWvciU0.jpg,dFQROr7oWzulq5FZUEh3MRrERXP2ZCRNt1ty78Z5HuJ2mEG4frJaJLYSmi7PuWvciU0,mistral-medium,The Grand Palace,0,10302,True
2026-08-20 23:27:47,dFQROr7oWzulq5FZUEh3MRrERXP2ZCRNt1ty78Z5HuJ2mEG4frJaJLYSmi7PuWvciU0.jpg,dFQROr7oWzulq5FZUEh3MRrERXP2ZCRNt1ty78Z5HuJ2mEG4frJaJLYSmi7PuWvciU0,qwen-vl-32b,The Grand Palace,0,4825,True
2026-08-20 23:52:43,6-1.png,6 1,google-gemini-25-pro,พระราชวังบัคคิงแฮม,0.8501730633482679,50461,True
2026-08-20 23:52:43,6-1.png,6 1,google-gemini-25-flash,พระราชวังบัคคิงแฮม,0.8501730633482679,12173,True
2026-08-20 23:52:43,6-1.png,6 1,google-gemma4-31b,พระราชวังบัคคิงแฮม,0.8501730633482679,68426,True
2026-08-20 23:52:43,6-1.png,6 1,openai-gpt4o,พระราชวังบัคคิงแฮม,0.8501730633482679,19939,True
2026-08-20 23:52:43,6-1.png,6 1,openai-gpt4o-mini,พระราชวังบัคคิงแฮม,0.8501730633482679,24086,True
2026-08-20 23:52:43,6-1.png,6 1,anthropic-claude-sonnet5,พระราชวังบัคคิงแฮม,0.8501730633482679,42477,True
2026-08-20 23:52:43,6-1.png,6 1,xai-grok4,พระราชวังบัคคิงแฮม,0.8501730633482679,26265,True
2026-08-20 23:52:43,6-1.png,6 1,amazon-nova-pro,พระราชวังบัคคิงแฮม,0.8501730633482679,23969,True
2026-08-20 23:52:43,6-1.png,6 1,mistral-medium,พระราชวังบัคคิงแฮม,0.8501730633482679,26543,True
2026-08-20 23:52:43,6-1.png,6 1,qwen-vl-32b,พระราชวังบัคคิงแฮม,0.8501730633482679,17529,True
2026-08-20 23:52:43,6-1.png,6 1,meta-llama4,พระราชวังบัคคิงแฮม,0.8501730633482679,18851,True
2026-08-21 00:35:11,พระราชวังต้องห้าม-The-Palace-Museum-and-the-Forbidden-City.jpg,พระราชวังต้องห้าม The Palace Museum and the Forbidden City,google-gemini-25-pro,Forbidden City,0,9986,True
2026-08-21 00:35:11,พระราชวังต้องห้าม-The-Palace-Museum-and-the-Forbidden-City.jpg,พระราชวังต้องห้าม The Palace Museum and the Forbidden City,google-gemini-25-flash,Forbidden City,0,2045,True
2026-08-21 00:35:11,พระราชวังต้องห้าม-The-Palace-Museum-and-the-Forbidden-City.jpg,พระราชวังต้องห้าม The Palace Museum and the Forbidden City,google-gemma4-31b,Forbidden City,0,4586,True
2026-08-21 00:35:11,พระราชวังต้องห้าม-The-Palace-Museum-and-the-Forbidden-City.jpg,พระราชวังต้องห้าม The Palace Museum and the Forbidden City,openai-gpt4o,Forbidden City,0,2337,True
2026-08-21 00:35:11,พระราชวังต้องห้าม-The-Palace-Museum-and-the-Forbidden-City.jpg,พระราชวังต้องห้าม The Palace Museum and the Forbidden City,openai-gpt4o-mini,Forbidden City,0,4134,True
2026-08-21 00:35:11,พระราชวังต้องห้าม-The-Palace-Museum-and-the-Forbidden-City.jpg,พระราชวังต้องห้าม The Palace Museum and the Forbidden City,anthropic-claude-sonnet5,Forbidden City (Hall of Supreme Harmony),0,7093,True
